Instance,Algorithm,Time(s),Cost,Success,Error,Dimension
pr226.tsp,Christofides,0.7037,92425.75353982349,True,,226
pr226.tsp,Twice-Around-the-Tree,0.5202,116692.15371518278,True,,226
pr226.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr2392.tsp,Christofides,251.527,425979.59046984685,True,,2392
pr2392.tsp,Twice-Around-the-Tree,14.1394,523132.9069393881,True,,2392
pr2392.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr264.tsp,Christofides,0.7226,54663.60243427483,True,,264
pr264.tsp,Twice-Around-the-Tree,0.5545,66466.8417493333,True,,264
pr264.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr299.tsp,Christofides,1.2185,52968.219790603056,True,,299
pr299.tsp,Twice-Around-the-Tree,0.5971,64646.03471992065,True,,299
pr299.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr439.tsp,Christofides,1.7268,119532.0359030051,True,,439
pr439.tsp,Twice-Around-the-Tree,0.7706,144624.15787804432,True,,439
pr439.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
pr76.tsp,Christofides,0.4564,116683.53464597449,True,,76
pr76.tsp,Twice-Around-the-Tree,0.436,145338.11445183848,True,,76
pr76.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rat195.tsp,Christofides,0.7041,2648.0952220519634,True,,195
rat195.tsp,Twice-Around-the-Tree,0.5045,3317.723252056972,True,,195
rat195.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rat575.tsp,Christofides,7.095,7802.7491950184985,True,,575
rat575.tsp,Twice-Around-the-Tree,1.0115,9438.933433360664,True,,575
rat575.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rat783.tsp,Christofides,17.4185,10102.874531719244,True,,783
rat783.tsp,Twice-Around-the-Tree,1.5861,12054.453156740949,True,,783
rat783.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rat99.tsp,Christofides,0.4902,1367.431978722476,True,,99
rat99.tsp,Twice-Around-the-Tree,0.4547,1723.2250451508614,True,,99
rat99.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rd100.tsp,Christofides,0.5683,8905.492431142618,True,,100
rd100.tsp,Twice-Around-the-Tree,0.4588,10791.655815950702,True,,100
rd100.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rd400.tsp,Christofides,3.3457,17551.74562434106,True,,400
rd400.tsp,Twice-Around-the-Tree,0.7295,20250.376744292647,True,,400
rd400.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
